Entry	Entry name	Gene names	Cross-reference (GeneID)
Q99216	PNO1_YEAST	PNO1 DIM2 RRP20 YOR145C O3513 YOR3513C	854317;
Q05778	POC1_YEAST	PBA1 POC1 YLR199C	850896;
P34110	VPS35_YEAST	VPS35 VPT7 YJL154C J0580	853287;
P40471	AYR1_YEAST	AYR1 GBG1 YIL124W	854682;
P17121	SAC7_YEAST	SAC7 YDR389W	851997;
Q07505	DLHH_YEAST	YDL086W	851472;
P32806	GYP6_YEAST	GYP6 YJL044C J1202	853406;
P54837	TMEDA_YEAST	ERV25 YML012W YM9571.06	854997;
P52871	SC6B2_YEAST	SBH2 SEB2 YER019C-A YER019BC	856740;
P38013	AHP1_YEAST	AHP1 YLR109W L2916 L9354.5	850799;
P40318	DOA10_YEAST	SSM4 DOA10 YIL030C YI3299.01C YI9905.18C	854781;
Q12445	POM34_YEAST	POM34 YLR018C	850705;
P23287	PP2B1_YEAST	CNA1 CMP1 YLR433C L9753.6	851153;
P53243	YG2A_YEAST	YGR067C	852958;
P27825	CALX_YEAST	CNE1 YAL058W FUN48	851241;
P10662	RT01_YEAST	MRP1 YDR347W D9651.1	851948;
P38704	STP2_YEAST	STP2 YHR006W	856397;
P53733	RT19_YEAST	RSM19 YNR037C N3300	855773;
Q12438	GLRX6_YEAST	GRX6 YDL010W D2890	851551;
P53846	LTO1_YEAST	LTO1 YNL260C N0838	855461;
Q12060	HFI1_YEAST	HFI1 ADA1 SUP110 YPL254W	855821;
Q08387	DNLI4_YEAST	DNL4 LIG4 YOR005C UND407 UNE452	854166;
P32478	HS150_YEAST	HSP150 CCW7 ORE1 PIR2 YJL159W J0558	853281;
P38700	APM2_YEAST	APM2 YHL019C	856367;
Q02896	YDC1_YEAST	YDC1 YPL087W LPG21W	856018;
P13663	DHAS_YEAST	HOM2 YDR158W YD8358.12	851736;
P40342	SWM2_YEAST	SWM2 YNR004W N2033	855738;
P53337	ERV29_YEAST	ERV29 YGR284C	853201;
Q12487	RM23_YEAST	MRPL23 YOR150W O3530	854321;
P53769	CWC24_YEAST	CWC24 YLR323C L8543.3	851033;
P40579	YIV5_YEAST	YIR035C	854853;
P38140	ERT1_YEAST	ERT1 YBR239C YBR1622	852541;
Q12212	SIA1_YEAST	SIA1 YOR137C YOR3329C	854305;
P43682	SFT1_YEAST	SFT1 YKL006C-A YKL006BC	853863;
